# Based on the Artemis Motorway drive cycle,
# time [s],current [A]
849,1.030594
850,1.683375
851,1.683375
852,1.682918
853,3.054704
854,2.326085
855,1.756771
856,2.450904
857,2.481727
858,1.810483
859,1.810483
860,1.810941
861,1.810788
862,2.815747
863,-0.25452
864,1.266499
865,1.738766
866,-0.047913
867,0.238193
868,-0.081941
869,-0.321508
870,-0.121004
871,-0.349889
872,0.025635
873,-0.534371
874,0.446937
875,1.177081
876,1.177081
877,1.176928
878,1.176928
879,1.177081
880,-1.34844
881,-1.770657
882,-1.562524
883,-0.263676
884,-0.428321
885,-0.147402
886,0.652323
887,0.392309
888,0.906538
889,0.652476
890,0.652628
891,0.392462
892,1.571221
893,-0.118105
894,-0.576944
895,-0.012055
896,-0.705425
897,0.286564
898,0.224155
899,0.218051
900,0.212406
901,-1.026627
902,-1.676051
903,-0.864576
904,-0.174716
905,0.053559
906,1.536126
907,1.876097
908,0.991684
909,2.058289
910,2.415808
911,2.343938
912,2.731823
913,2.003815
914,0.02182
915,2.057832
916,1.164569
917,0.928511
918,0.939651
919,0.627451
920,0.627146
921,0.950332
922,1.224384
923,1.99176
924,1.991302
925,2.057679
926,2.126192
927,0.449683
928,0.79469
929,1.153124
930,1.898528
931,2.252079
932,1.938964
933,2.064698
934,0.189212
935,-0.240177
936,-0.42237
937,-0.593271
938,-0.263676
939,-0.268559
940,-0.303807
941,0.070497
942,0.635843
943,0.124361
944,0.177615
945,-0.396582
946,0.082704
947,-0.166171
948,-0.392309
949,-0.599374
950,-0.94667
951,-1.37377
952,-1.941558
953,-0.966812
954,0.6804
955,0.961929
956,1.290608
957,1.765774
958,1.50988
959,1.656672
960,0.986648
961,0.685283
962,0.320134
963,-0.350042
964,-0.501106
965,-0.459907
966,-0.314641
967,-0.436866
968,-0.287633
969,-0.597086
970,-0.770123
971,-0.656901
972,-0.154574
973,0.065919
974,-0.023804
975,-0.21973
976,-0.248875
977,0.027924
978,0.95201
979,0.811017
980,0.496834
981,1.315023
982,1.321279
983,1.510948
984,0.884871
985,-0.043641
986,0.680858
987,0.67628
988,0.178225
989,0.454566
990,0.184024
991,0.184024
992,-0.171359
993,-0.270542
994,-0.145571
995,-0.248722
996,-0.13489
997,0.125734
998,0.552377
999,1.090715
1000,0.633707
1001,1.231861
1002,0.719921
1003,0.485542
1004,0.764019
1005,0.517891
1006,-0.182956
1007,-0.162203
1008,-0.158846
1009,-0.042725
1010,-0.391394
1011,-1.018082
1012,-0.62974
1013,-0.097963
1014,-0.023804
1015,-0.030671
1016,1.138476
1017,1.833219
1018,0.946975
1019,-0.029603
